"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"65",10,"Conceptual","Rough",2,597.963534542291,0.159182235948733,"BMT","UCB",2.77364742792066,NA,0.0475191702264354,0.0610912078511201,NA,70.2193704730404,"Conceptual First",69.68
"66",10,"Conceptual","Rough",3,597.963534542291,0.159182235948733,"BMT","UCB",2.47354027285431,NA,0.0450581636356024,0.0669052302577481,NA,58.0721561104426,"Conceptual First",69.68
"67",10,"Conceptual","Rough",4,597.963534542291,0.159182235948733,"BMT","UCB",2.39365897663026,NA,0.0539041222288558,0.0659943969937564,NA,59.8901238086917,"Conceptual First",69.68
"68",10,"Conceptual","Rough",5,597.963534542291,0.159182235948733,"BMT","UCB",3.18514794051069,NA,0.0874758171568026,0.046672966395678,NA,67.6934894308137,"Conceptual First",69.68
"69",10,"Conceptual","Rough",6,597.963534542291,0.159182235948733,"BMT","UCB",2.64862630368749,NA,0.0426746326741013,0.0638854244525774,NA,75.9901532963364,"Conceptual First",69.68
"70",10,"Conceptual","Rough",7,597.963534542291,0.159182235948733,"BMT","UCB",2.31849021307617,NA,0.0533768850243692,0.0677315976079004,NA,66.2993165756109,"Conceptual First",69.68
"71",10,"Conceptual","Rough",8,597.963534542291,0.159182235948733,"BMT","UCB",2.67205647627979,NA,0.0497143490761399,0.0621041566856526,NA,53.0054779807309,"Conceptual First",69.68
"72",10,"Conceptual","Rough",9,597.963534542291,0.159182235948733,"BMT","UCB",2.7858031927019,NA,0.0946238035045806,0.0505896881234697,NA,71.9083258026187,"Conceptual First",69.68
"73",10,"Conceptual","Rough",9,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,4.89972301815488,0.00741520880869058,0.0806285848426224,1.17541785072674,71.1795038678354,"Conceptual First",69.68
"74",10,"Conceptual","Rough",5,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.71120828485779,0.00673794699912474,0.095111418394796,NA,66.4406626405556,"Conceptual First",69.68
